"code_centre_interet","libelle_centre_interet","code_ogr_rome","code_rome","libelle_rome","principal"
"1","J'ai envie de créer, construire, rénover","488634","A1206","Concepteur / Conceptrice paysagiste","non"
"1","J'ai envie de créer, construire, rénover","488734","A1208","Jardinier / Jardinière paysagiste","non"
"1","J'ai envie de créer, construire, rénover","488728","A1425","Ramendeur / Ramendeuse","non"
"1","J'ai envie de créer, construire, rénover","37","B1201","Céramiste d'art","non"
"1","J'ai envie de créer, construire, rénover","38","B1301","Étalagiste","oui"
"1","J'ai envie de créer, construire, rénover","39","B1302","Décorateur / Décoratrice d'objets d'art","non"
"1","J'ai envie de créer, construire, rénover","41","B1401","Vannier / Vannière","oui"
"1","J'ai envie de créer, construire, rénover","489064","B1403","Restaurateur / Restauratrice de livres anciens","oui"
"1","J'ai envie de créer, construire, rénover","43","B1501","Facteur / Factrice d'instruments de musique","oui"
"1","J'ai envie de créer, construire, rénover","44","B1601","Métallier / Métallière d'art","oui"
"1","J'ai envie de créer, construire, rénover","45","B1602","Souffleur / Souffleuse de verre","oui"
"1","J'ai envie de créer, construire, rénover","46","B1603","Opérateur / Opératrice en orfèvrerie et bijouterie","non"
"1","J'ai envie de créer, construire, rénover","47","B1604","Horloger / Horlogère","non"
"1","J'ai envie de créer, construire, rénover","488744","B1613","Orfèvre","non"
"1","J'ai envie de créer, construire, rénover","489215","B1614","Monteur / Monteuse en orfèvrerie","non"
"1","J'ai envie de créer, construire, rénover","49","B1801","Chapelier / Chapelière","oui"
"1","J'ai envie de créer, construire, rénover","50","B1802","Maroquinier / Maroquinière","oui"
"1","J'ai envie de créer, construire, rénover","51","B1803","Couturier / Couturière","non"
"1","J'ai envie de créer, construire, rénover","52","B1804","Brodeur / Brodeuse","non"
"1","J'ai envie de créer, construire, rénover","53","B1805","Styliste","non"
"1","J'ai envie de créer, construire, rénover","54","B1806","Tapissier / Tapissière d'ameublement","non"
"1","J'ai envie de créer, construire, rénover","489040","C1506","Responsable de projet immobilier","non"
"1","J'ai envie de créer, construire, rénover","122","E1104","Concepteur / Conceptrice de contenus multimedia","oui"
"1","J'ai envie de créer, construire, rénover","131","E1205","Graphiste","non"
"1","J'ai envie de créer, construire, rénover","404036","E1206","UX - UI Designer","non"
"1","J'ai envie de créer, construire, rénover","142","F1101","Architecte","non"
"1","J'ai envie de créer, construire, rénover","145","F1104","Dessinateur / Dessinatrice du BTP","non"
"1","J'ai envie de créer, construire, rénover","147","F1106","Ingénieur / Ingénieure d'études BTP","oui"
"1","J'ai envie de créer, construire, rénover","149","F1108","Métreur / Métreuse de la construction","oui"
"1","J'ai envie de créer, construire, rénover","403089","F1111","Ingénieur / Ingénieure génie civil","oui"
"1","J'ai envie de créer, construire, rénover","403090","F1112","Ingénieur / Ingénieure calcul et structure","oui"
"1","J'ai envie de créer, construire, rénover","404538","F1114","Conseiller / Conseillère en rénovation énergétique","non"
"1","J'ai envie de créer, construire, rénover","488589","F1116","Ingénieur / Ingénieure démantèlement nucléaire","oui"
"1","J'ai envie de créer, construire, rénover","488590","F1117","Ingénieur / Ingénieure d'étude CVC","oui"
"1","J'ai envie de créer, construire, rénover","488623","F1120","Économiste de la construction","oui"
"1","J'ai envie de créer, construire, rénover","488637","F1121","Architecte du patrimoine national","oui"
"1","J'ai envie de créer, construire, rénover","488719","F1122","Ingénieur / Ingénieure Chantier nucléaire","oui"
"1","J'ai envie de créer, construire, rénover","489011","F1125","BIM Manager","oui"
"1","J'ai envie de créer, construire, rénover","489182","F1126","Collaborateur / Collaboratrice d'architecte","non"
"1","J'ai envie de créer, construire, rénover","150","F1201","Conducteur / Conductrice de travaux","oui"
"1","J'ai envie de créer, construire, rénover","151","F1202","Chef / Cheffe de chantier","non"
"1","J'ai envie de créer, construire, rénover","152","F1203","Responsable d'exploitation de gisements et de carrières","non"
"1","J'ai envie de créer, construire, rénover","403076","F1205","Responsable de travaux BTP","oui"
"1","J'ai envie de créer, construire, rénover","489220","F1206","Chef / Cheffe d'équipe bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","490402","F1207","Chef / Cheffe d'équipe travaux publics","non"
"1","J'ai envie de créer, construire, rénover","154","F1301","Grutier / Grutière","non"
"1","J'ai envie de créer, construire, rénover","155","F1302","Conducteur / Conductrice d'engins de chantier","non"
"1","J'ai envie de créer, construire, rénover","156","F1401","Foreur / Foreuse","oui"
"1","J'ai envie de créer, construire, rénover","158","F1501","Poseur / Poseuse de charpentes ou constructions bois","oui"
"1","J'ai envie de créer, construire, rénover","159","F1502","Échafaudeur / Échafaudeuse","oui"
"1","J'ai envie de créer, construire, rénover","160","F1503","Charpentier / Charpentière","oui"
"1","J'ai envie de créer, construire, rénover","488871","F1504","Charpentier / Charpentière de marine","oui"
"1","J'ai envie de créer, construire, rénover","161","F1601","Plâtrier / Plâtrière","oui"
"1","J'ai envie de créer, construire, rénover","162","F1602","Électricien / Électricienne du bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","163","F1603","Plombier / Plombière","oui"
"1","J'ai envie de créer, construire, rénover","164","F1604","Plaquiste","oui"
"1","J'ai envie de créer, construire, rénover","165","F1605","Électricien / Électricienne réseaux","oui"
"1","J'ai envie de créer, construire, rénover","166","F1606","Peintre en bâtiment","non"
"1","J'ai envie de créer, construire, rénover","167","F1607","Menuisier / Menuisière aluminium","oui"
"1","J'ai envie de créer, construire, rénover","168","F1608","Carreleur / Carreleuse","oui"
"1","J'ai envie de créer, construire, rénover","169","F1609","Solier / Solière","oui"
"1","J'ai envie de créer, construire, rénover","170","F1610","Installateur mainteneur / Installatrice mainteneuse en systèmes solaires, thermiques et photovoltaïques","non"
"1","J'ai envie de créer, construire, rénover","171","F1611","Façadier / Façadière","oui"
"1","J'ai envie de créer, construire, rénover","172","F1612","Tailleur / Tailleuse de pierre","oui"
"1","J'ai envie de créer, construire, rénover","173","F1613","Étancheur / Étancheuse","oui"
"1","J'ai envie de créer, construire, rénover","403073","F1614","Poseur / Poseuse en fermetures de bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","403080","F1615","Poseur / Poseuse de cloisons démontables et mobiles","oui"
"1","J'ai envie de créer, construire, rénover","403081","F1616","Poseur / Poseuse de menuiseries extérieures","oui"
"1","J'ai envie de créer, construire, rénover","403082","F1617","Poseur / Poseuse de véranda","oui"
"1","J'ai envie de créer, construire, rénover","403083","F1618","Poseur / Poseuse de façade vitrée","oui"
"1","J'ai envie de créer, construire, rénover","404037","F1619","Couvreur / Couvreuse","non"
"1","J'ai envie de créer, construire, rénover","404539","F1620","Installateur / Installatrice chauffage et climatisation","oui"
"1","J'ai envie de créer, construire, rénover","488572","F1621","Ramoneur / Ramoneuse","oui"
"1","J'ai envie de créer, construire, rénover","488912","F1622","Monteur / Monteuse en éclairage public","oui"
"1","J'ai envie de créer, construire, rénover","489030","F1623","Monteur / Monteuse installation réseaux mobiles","oui"
"1","J'ai envie de créer, construire, rénover","489084","F1624","Staffeur Stuqueur / Staffeuse Stuqueuse","non"
"1","J'ai envie de créer, construire, rénover","489189","F1625","Monteur / Monteuse en agencement","oui"
"1","J'ai envie de créer, construire, rénover","174","F1701","Coffreur / Coffreuse","oui"
"1","J'ai envie de créer, construire, rénover","175","F1702","Ouvrier / Ouvrière en voiries","oui"
"1","J'ai envie de créer, construire, rénover","176","F1703","Maçon / Maçonne","oui"
"1","J'ai envie de créer, construire, rénover","177","F1704","Manœuvre bâtiment","oui"
"1","J'ai envie de créer, construire, rénover","178","F1705","Poseur / Poseuse de canalisations","oui"
"1","J'ai envie de créer, construire, rénover","179","F1706","Armaturier / Armaturière de l'industrie du béton","oui"
"1","J'ai envie de créer, construire, rénover","403952","F1707","Maçon / Maçonne du paysage","non"
"1","J'ai envie de créer, construire, rénover","403954","F1708","Installateur-poseur / Installatrice-poseuse de piscines préfabriquées","non"
"1","J'ai envie de créer, construire, rénover","404038","F1709","Démolisseur / Démolisseuse","non"
"1","J'ai envie de créer, construire, rénover","488283","F1710","Magasinier / Magasinière en négoce des matériaux de construction","non"
"1","J'ai envie de créer, construire, rénover","215","H1204","Designer industriel / Designeuse industrielle","non"
"1","J'ai envie de créer, construire, rénover","217","H1206","Ingénieur / Ingénieure R&D en industrie","oui"
"1","J'ai envie de créer, construire, rénover","488291","H1213","Responsable du développement clinique","oui"
"1","J'ai envie de créer, construire, rénover","488303","H1215","Bioinformaticien / Bioinformaticienne en études, recherche et développement","oui"
"1","J'ai envie de créer, construire, rénover","488308","H1216","Responsable des études épidémiologiques","oui"
"1","J'ai envie de créer, construire, rénover","488313","H1217","Technicien / Technicienne formulation","oui"
"1","J'ai envie de créer, construire, rénover","488316","H1218","Responsable de projet recherche et développement","oui"
"1","J'ai envie de créer, construire, rénover","488319","H1219","Responsable opérationnel / Responsable opérationnelle des études cliniques","oui"
"1","J'ai envie de créer, construire, rénover","488322","H1220","Responsable formulation","oui"
"1","J'ai envie de créer, construire, rénover","488347","H1222","Responsable médical / Responsable médicale des études cliniques","oui"
"1","J'ai envie de créer, construire, rénover","488351","H1223","Coordinateur / Coordinatrice d'études cliniques","oui"
"1","J'ai envie de créer, construire, rénover","489219","H1225","Ingénieur / Ingénieure développement nucléaire","oui"
"1","J'ai envie de créer, construire, rénover","242","H2206","Menuisier / Menuisière","non"
"1","J'ai envie de créer, construire, rénover","245","H2209","Dessinateur / Dessinatrice de structures en bois","non"
"1","J'ai envie de créer, construire, rénover","489038","H2210","Tonnelier / Tonnelière","non"
"1","J'ai envie de créer, construire, rénover","488887","H2211","Opérateur / Opératrice de sciage bois","non"
"1","J'ai envie de créer, construire, rénover","254","H2408","Imprimeur / Imprimeuse textile","non"
"1","J'ai envie de créer, construire, rénover","488630","H2416","Gainier industriel / Gainière industrielle","oui"
"1","J'ai envie de créer, construire, rénover","262","H2501","Chef / Cheffe d'atelier production électricité-électronique","non"
"1","J'ai envie de créer, construire, rénover","263","H2502","Responsable d'unité de production industrielle","non"
"1","J'ai envie de créer, construire, rénover","264","H2503","Responsable d'îlot de production","non"
"1","J'ai envie de créer, construire, rénover","265","H2504","Chef / Cheffe d'équipe en industrie","non"
"1","J'ai envie de créer, construire, rénover","266","H2505","Chef / Cheffe d'équipe et d'atelier textile","non"
"1","J'ai envie de créer, construire, rénover","488315","H2507","Responsable de ligne de production industrielle","non"
"1","J'ai envie de créer, construire, rénover","488862","H2508","Ingénieur / Ingénieure exploitation nucléaire","oui"
"1","J'ai envie de créer, construire, rénover","267","H2601","Bobinier / Bobinière en électricité","non"
"1","J'ai envie de créer, construire, rénover","268","H2602","Câbleur / Câbleuse d'armoires","non"
"1","J'ai envie de créer, construire, rénover","270","H2604","Assembleur / Assembleuse en produits électriques et électroniques","non"
"1","J'ai envie de créer, construire, rénover","271","H2605","Monteur-câbleur / Monteuse-câbleuse en électronique","non"
"1","J'ai envie de créer, construire, rénover","488763","H2606","Monteur-bobinier / Monteuse-bobinière en électricité","non"
"1","J'ai envie de créer, construire, rénover","488920","H2607","Chef / Cheffe d'équipe d'atelier de bobinage en électricité","non"
"1","J'ai envie de créer, construire, rénover","489222","H2608","Bobinier / Bobinière en matériels électroniques","non"
"1","J'ai envie de créer, construire, rénover","274","H2802","Opérateur / Opératrice de fabrication en matériaux de construction","non"
"1","J'ai envie de créer, construire, rénover","275","H2803","Opérateur / Opératrice de production en céramique","oui"
"1","J'ai envie de créer, construire, rénover","488902","I1104","Ingénieur / Ingénieure infrastructures télécoms réseaux mobiles","non"
"1","J'ai envie de créer, construire, rénover","311","I1302","Technicien / Technicienne de maintenance d'installations automatisées","non"
"1","J'ai envie de créer, construire, rénover","488883","I1316","Technicien / Technicienne de maintenance Chauffage, Ventilation et Climatisation - CVC","non"
"1","J'ai envie de créer, construire, rénover","322","I1501","Cordiste","non"
"1","J'ai envie de créer, construire, rénover","325","I1601","Préparateur / Préparatrice de bateau","non"
"1","J'ai envie de créer, construire, rénover","327","I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles","non"
"1","J'ai envie de créer, construire, rénover","489208","I1609","Peintre automobile","non"
"1","J'ai envie de créer, construire, rénover","488736","I1614","Préparateur / Préparatrice en peinture automobile","non"
"1","J'ai envie de créer, construire, rénover","382","K1404","Chargé / Chargée de mission développement territorial","non"
"1","J'ai envie de créer, construire, rénover","489080","K1607","Conservateur / Conservatrice des antiquités et objets d'art","oui"
"1","J'ai envie de créer, construire, rénover","489034","K1717","Technicien électronicien / Technicienne électronicienne des armées","non"
"1","J'ai envie de créer, construire, rénover","489053","K1718","Mécanicien / Mécanicienne de systèmes d'armes","non"
"1","J'ai envie de créer, construire, rénover","488725","K1724","Mécanicien / Mécanicienne d'engins blindés","non"
"1","J'ai envie de créer, construire, rénover","435","L1101","Disc-jockey","non"
"1","J'ai envie de créer, construire, rénover","439","L1202","Musicien / Musicienne","non"
"1","J'ai envie de créer, construire, rénover","39022","L1510","Animateur / Animatrice 3D - films d'animation","non"
