"code_domaine_competence","domaine_competence","code_enjeu","enjeu","code_objectif","objectif","code_macro_competence","code_ogr_macro_competence","libelle_macro_competence","code_ogr_competence","libelle_competence"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","103888","Concevoir le programme des activités selon les spécificités du public"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","113876","Accompagner des groupes lors de visites guidées ou sorties en extérieur"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","115080","Animer une séance individuelle ou collective (relaxation, exercices d'improvisation, ...)"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","125679","Organiser des activités de divertissement selon les participants et le contexte"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","405150","Organiser des sorties et des séjours éducatifs, culturels"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","482932","Organiser des activités thérapeutiques adaptées"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","485228","Animer des activités ludiques et informatives à bord"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","486436","Faciliter la communication par des activités créatives"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","489924","Proposer et animer des activités de loisirs adaptés pour favoriser le développement personnel"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A101","300030","Concevoir et animer des activités de détente ou de loisirs","490532","Choisir les sites de pêche en fonction des conditions météorologiques et des saisons"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","103922","Encadrer des activités nécessitant une habilitation BAFA"
"1","Management, Social, Soin","1A","Animation","1A1","Animer des activités","1A102","300031","Assurer l'encadrement de l'enfant ou d'un groupe d'enfants","107372","Veiller à la sécurité de l'enfant au domicile et à l'extérieur"
