"code_sect_activite","libelle_sect_activite","code_ss_sect_activite","libelle_ss_sect_activite","code_ogr_rome","code_rome","libelle_rome","principal"
"110","Activités juridiques et comptables","145","Activités juridiques","488284","H1509","Responsable des affaires règlementaires","non"
"110","Activités juridiques et comptables","145","Activités juridiques","365","K1102","Mandataire judiciaire à la protection des majeurs","non"
"110","Activités juridiques et comptables","145","Activités juridiques","400","K1901","Notaire","non"
"110","Activités juridiques et comptables","145","Activités juridiques","401","K1902","Clerc de notaire","non"
"110","Activités juridiques et comptables","145","Activités juridiques","402","K1903","Juriste","non"
"110","Activités juridiques et comptables","145","Activités juridiques","403","K1904","Juge","non"
"110","Activités juridiques et comptables","145","Activités juridiques","488574","K1905","Huissier / Huissière de justice","non"
"110","Activités juridiques et comptables","145","Activités juridiques","488602","K1906","Délégué / Déléguée à la protection des données - Data Protection Officer","non"
"110","Activités juridiques et comptables","145","Activités juridiques","489169","K1908","Responsable de service contentieux et recouvrement","non"
"110","Activités juridiques et comptables","145","Activités juridiques","488787","M1612","Assistant / Assistante de service juridique","non"
"110","Activités juridiques et comptables","146","Comptabilité","459","M1202","Expert-comptable / Experte-comptable","non"
"110","Activités juridiques et comptables","146","Comptabilité","460","M1203","Comptable","non"
"110","Activités juridiques et comptables","146","Comptabilité","462","M1205","Directeur administratif et financier / Directrice administrative et financière -DAF-","non"
"110","Activités juridiques et comptables","146","Comptabilité","463","M1206","Chef comptable","non"
"110","Activités juridiques et comptables","146","Comptabilité","464","M1207","Trésorier / Trésorière","non"
"110","Activités juridiques et comptables","146","Comptabilité","488629","M1208","Responsable contrôle de gestion","non"
"110","Activités juridiques et comptables","146","Comptabilité","489196","M1210","Commissaire aux comptes","non"
"110","Activités juridiques et comptables","146","Comptabilité","488773","M1507","Gestionnaire paie","non"
"110","Activités juridiques et comptables","146","Comptabilité","481","M1608","Secrétaire comptable","non"
"110","Activités juridiques et comptables","146","Comptabilité","488746","M1611","Secrétaire Facturier / Facturière","non"
"110","Activités juridiques et comptables","","","488284","H1509","Responsable des affaires règlementaires","oui"
"110","Activités juridiques et comptables","","","365","K1102","Mandataire judiciaire à la protection des majeurs","oui"
"110","Activités juridiques et comptables","","","400","K1901","Notaire","oui"
"110","Activités juridiques et comptables","","","401","K1902","Clerc de notaire","oui"
"110","Activités juridiques et comptables","","","402","K1903","Juriste","oui"
"110","Activités juridiques et comptables","","","403","K1904","Juge","oui"
"110","Activités juridiques et comptables","","","488574","K1905","Huissier / Huissière de justice","oui"
"110","Activités juridiques et comptables","","","488602","K1906","Délégué / Déléguée à la protection des données - Data Protection Officer","oui"
"110","Activités juridiques et comptables","","","489169","K1908","Responsable de service contentieux et recouvrement","oui"
"110","Activités juridiques et comptables","","","459","M1202","Expert-comptable / Experte-comptable","oui"
"110","Activités juridiques et comptables","","","460","M1203","Comptable","oui"
"110","Activités juridiques et comptables","","","462","M1205","Directeur administratif et financier / Directrice administrative et financière -DAF-","oui"
"110","Activités juridiques et comptables","","","463","M1206","Chef comptable","oui"
"110","Activités juridiques et comptables","","","464","M1207","Trésorier / Trésorière","oui"
"110","Activités juridiques et comptables","","","488629","M1208","Responsable contrôle de gestion","oui"
"110","Activités juridiques et comptables","","","489196","M1210","Commissaire aux comptes","oui"
"110","Activités juridiques et comptables","","","488773","M1507","Gestionnaire paie","oui"
"110","Activités juridiques et comptables","","","481","M1608","Secrétaire comptable","oui"
"110","Activités juridiques et comptables","","","488746","M1611","Secrétaire Facturier / Facturière","oui"
"110","Activités juridiques et comptables","","","488787","M1612","Assistant / Assistante de service juridique","oui"
"79","Agriculture et élevage","114","Agriculture, sylviculture","6","A1101","Conducteur / Conductrice d'engins agricoles","non"
"79","Agriculture et élevage","114","Agriculture, sylviculture","403950","A1102","Conducteur / Conductrice d'engins d'exploitation forestière","non"
