"code_secteur_naf","libelle_secteur_naf","code_ogr_rome","code_rome","libelle_rome"
"1","Culture et production animale, chasse et services annexes","6","A1101","Conducteur / Conductrice d'engins agricoles"
"1","Culture et production animale, chasse et services annexes","9","A1203","Agent / Agente d'entretien des espaces verts"
"1","Culture et production animale, chasse et services annexes","488734","A1208","Jardinier / Jardinière paysagiste"
"1","Culture et production animale, chasse et services annexes","489042","A1211","Chef / Cheffe d'équipe paysagiste"
"1","Culture et production animale, chasse et services annexes","12","A1301","Technicien / Technicienne de culture maraîchère"
"1","Culture et production animale, chasse et services annexes","13","A1302","Technicien / Technicienne agricole"
"1","Culture et production animale, chasse et services annexes","14","A1303","Ingénieur / Ingénieure agronome"
"1","Culture et production animale, chasse et services annexes","403951","A1304","Conseiller / Conseillère technique agricole"
"1","Culture et production animale, chasse et services annexes","15","A1401","Vendangeur / Vendangeuse"
"1","Culture et production animale, chasse et services annexes","16","A1402","Aide horticole"
"1","Culture et production animale, chasse et services annexes","17","A1403","Aide d'élevage agricole"
"1","Culture et production animale, chasse et services annexes","19","A1405","Arboriculteur / Arboricultrice"
"1","Culture et production animale, chasse et services annexes","21","A1407","Éleveur / Éleveuse de bovins"
"1","Culture et production animale, chasse et services annexes","22","A1408","Éleveur / Éleveuse d'animaux"
"1","Culture et production animale, chasse et services annexes","23","A1409","Aviculteur / Avicultrice"
"1","Culture et production animale, chasse et services annexes","24","A1410","Éleveur / Éleveuse d'ovins"
"1","Culture et production animale, chasse et services annexes","25","A1411","Éleveur / Éleveuse de porcins"
"1","Culture et production animale, chasse et services annexes","26","A1412","Fromager-affineur / Fromagère-affineuse"
"1","Culture et production animale, chasse et services annexes","27","A1413","Brasseur / Brasseuse de bière"
"1","Culture et production animale, chasse et services annexes","28","A1414","Horticulteur / Horticultrice"
"1","Culture et production animale, chasse et services annexes","30","A1416","Agriculteur / Agricultrice"
"1","Culture et production animale, chasse et services annexes","403953","A1418","Viticulteur / Viticultrice"
"1","Culture et production animale, chasse et services annexes","403955","A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente"
"1","Culture et production animale, chasse et services annexes","403956","A1420","Chef / Cheffe de culture responsable d'unité de production agricole"
"1","Culture et production animale, chasse et services annexes","403957","A1421","Palefrenier soigneur / Palefrenière soigneuse"
"1","Culture et production animale, chasse et services annexes","488766","A1426","Éducateur canin / Éducatrice canine"
"1","Culture et production animale, chasse et services annexes","488914","A1429","Apiculteur / Apicultrice"
"1","Culture et production animale, chasse et services annexes","32","A1501","Auxiliaire vétérinaire"
"1","Culture et production animale, chasse et services annexes","33","A1502","Maréchal-ferrant / Maréchale-ferrante"
"1","Culture et production animale, chasse et services annexes","488328","A1505","Animalier / Animalière de laboratoire"
"1","Culture et production animale, chasse et services annexes","85","D1106","Épicier / Épicière"
"1","Culture et production animale, chasse et services annexes","86","D1107","Grossiste en produits frais"
"1","Culture et production animale, chasse et services annexes","403958","G1210","Enseignant / Enseignante d'équitation"
"1","Culture et production animale, chasse et services annexes","327","I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles"
"1","Culture et production animale, chasse et services annexes","489210","N4117","Conducteur / Conductrice d'attelage"
"10","Industries alimentaires","25","A1411","Éleveur / Éleveuse de porcins"
"10","Industries alimentaires","26","A1412","Fromager-affineur / Fromagère-affineuse"
"10","Industries alimentaires","80","D1101","Boucher / Bouchère"
"10","Industries alimentaires","81","D1102","Boulanger / Boulangère"
"10","Industries alimentaires","82","D1103","Charcutier-traiteur / Charcutière-traiteuse"
"10","Industries alimentaires","83","D1104","Pâtissier / Pâtissière"
"10","Industries alimentaires","84","D1105","Poissonnier / Poissonnière"
"10","Industries alimentaires","86","D1107","Grossiste en produits frais"
"10","Industries alimentaires","488597","D1108","Chef boulanger / Cheffe boulangère"
"10","Industries alimentaires","489178","D1109","Chef boucher / Cheffe bouchère"
"10","Industries alimentaires","211","H1102","Ingénieur / Ingénieure d'affaires en industrie"
"10","Industries alimentaires","489029","H1108","Technicien / Technicienne support client en industrie"
"10","Industries alimentaires","212","H1201","Coloriste en industrie"
"10","Industries alimentaires","224","H1303","Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)"
