"code_theme","libelle_theme","code_ogr_rome","code_rome","libelle_rome"
"001","Métiers de l'environnement et du développement durable","6","A1101","Conducteur / Conductrice d'engins agricoles"
"001","Métiers de l'environnement et du développement durable","403950","A1102","Conducteur / Conductrice d'engins d'exploitation forestière"
"001","Métiers de l'environnement et du développement durable","7","A1201","Bûcheron / Bûcheronne"
"001","Métiers de l'environnement et du développement durable","8","A1202","Agent / Agente d'entretien des espaces naturels"
"001","Métiers de l'environnement et du développement durable","9","A1203","Agent / Agente d'entretien des espaces verts"
"001","Métiers de l'environnement et du développement durable","10","A1204","Garde Forestier / Forestière"
"001","Métiers de l'environnement et du développement durable","11","A1205","Sylviculteur / Sylvicultrice"
"001","Métiers de l'environnement et du développement durable","488634","A1206","Concepteur / Conceptrice paysagiste"
"001","Métiers de l'environnement et du développement durable","488640","A1207","Chef / Cheffe d'équipe d'entretien d'espaces naturels"
"001","Métiers de l'environnement et du développement durable","488734","A1208","Jardinier / Jardinière paysagiste"
"001","Métiers de l'environnement et du développement durable","488755","A1209","Élagueur / Élagueuse"
"001","Métiers de l'environnement et du développement durable","488859","A1210","Ouvrier forestier / Ouvrière forestière"
"001","Métiers de l'environnement et du développement durable","489042","A1211","Chef / Cheffe d'équipe paysagiste"
"001","Métiers de l'environnement et du développement durable","489058","A1212","Chef / Cheffe d'équipe de travaux forestiers"
"001","Métiers de l'environnement et du développement durable","489160","A1213","Conducteur / Conductrice de travaux forestiers"
"001","Métiers de l'environnement et du développement durable","12","A1301","Technicien / Technicienne de culture maraîchère"
"001","Métiers de l'environnement et du développement durable","14","A1303","Ingénieur / Ingénieure agronome"
"001","Métiers de l'environnement et du développement durable","403951","A1304","Conseiller / Conseillère technique agricole"
"001","Métiers de l'environnement et du développement durable","403955","A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente"
"001","Métiers de l'environnement et du développement durable","403956","A1420","Chef / Cheffe de culture responsable d'unité de production agricole"
"001","Métiers de l'environnement et du développement durable","488776","A1427","Goémonier / Goémonière"
"001","Métiers de l'environnement et du développement durable","488903","A1428","Algoculteur / Algocultrice"
"001","Métiers de l'environnement et du développement durable","488914","A1429","Apiculteur / Apicultrice"
"001","Métiers de l'environnement et du développement durable","33","A1502","Maréchal-ferrant / Maréchale-ferrante"
"001","Métiers de l'environnement et du développement durable","489040","C1506","Responsable de projet immobilier"
"001","Métiers de l'environnement et du développement durable","121","E1103","Chargé / Chargée des relations publiques"
"001","Métiers de l'environnement et du développement durable","403088","E1109","Directeur / Directrice de la communication"
"001","Métiers de l'environnement et du développement durable","488921","E1112","Chargé / Chargée de communication"
"001","Métiers de l'environnement et du développement durable","142","F1101","Architecte"
"001","Métiers de l'environnement et du développement durable","144","F1103","Diagnostiqueur / Diagnostiqueuse immobilier"
"001","Métiers de l'environnement et du développement durable","146","F1105","Géologue"
"001","Métiers de l'environnement et du développement durable","147","F1106","Ingénieur / Ingénieure d'études BTP"
"001","Métiers de l'environnement et du développement durable","404537","F1113","Chargé / Chargée d'affaires en rénovation énergétique"
"001","Métiers de l'environnement et du développement durable","404538","F1114","Conseiller / Conseillère en rénovation énergétique"
"001","Métiers de l'environnement et du développement durable","488578","F1115","Vulcanologue"
"001","Métiers de l'environnement et du développement durable","488615","F1118","Sismologue"
"001","Métiers de l'environnement et du développement durable","488621","F1119","Pédologue"
"001","Métiers de l'environnement et du développement durable","488637","F1121","Architecte du patrimoine national"
"001","Métiers de l'environnement et du développement durable","489200","F1123","Glaciologue"
"001","Métiers de l'environnement et du développement durable","488897","F1124","Hydrologue"
"001","Métiers de l'environnement et du développement durable","151","F1202","Chef / Cheffe de chantier"
