"code_grand_domaine","code_domaine_professionnel","numero_fiche_rome","intitule","libelle_appellation_long","libelle_appellation_court","type_provenance","code_fiche","ogr_rome","ogr_appellation"
"A","","","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","","","1","","",""
"A","11","","Engins agricoles et forestiers","","","2","","",""
"A","11","01","Conducteur / Conductrice d'engins agricoles","","","3","11","6",""
"","","","","Chauffeur / Chauffeuse de machines agricoles","Chauffeur / Chauffeuse de machines agricoles","4","11","6","11987"
"","","","","Conducteur / Conductrice d'automoteur de récolte","Conducteur / Conductrice d'automoteur de récolte","4","11","6","38874"
"","","","","Conducteur / Conductrice de machines à vendanger","Conducteur / Conductrice de machines à vendanger","4","11","6","13232"
"","","","","Conducteur / Conductrice de matériels de semis","Conducteur / Conductrice de matériels de semis","4","11","6","38878"
"","","","","Conducteur / Conductrice de pulvérisateur","Conducteur / Conductrice de pulvérisateur","4","11","6","38875"
"","","","","Conducteur / Conductrice de tracteur","Conducteur / Conductrice de tracteur","4","11","6","13201"
"","","","","Conducteur / Conductrice de tracteur enjambeur","Conducteur / Conductrice de tracteur enjambeur","4","11","6","140877"
"","","","","Conducteur / Conductrice de tracto-benne","Conducteur / Conductrice de tracto-benne","4","11","6","38879"
"","","","","Conducteur / Conductrice d'engins agricoles","Conducteur / Conductrice d'engins agricoles","4","11","6","404030"
"","","","","Conducteur / Conductrice d'engins d'exploitation agricole","Conducteur / Conductrice d'engins d'exploitation agricole","4","11","6","13254"
"","","","","Conducteur / Conductrice d'épareuse","Conducteur / Conductrice d'épareuse","4","11","6","38877"
"","","","","Opérateur / Opératrice d'épandage","Opérateur / Opératrice d'épandage","4","11","6","38876"
"","","","","Tractoriste agricole","Tractoriste agricole","4","11","6","20404"
"","","","","Tractoriste viticole","Tractoriste viticole","4","11","6","405363"
"A","11","02","Conducteur / Conductrice d'engins d'exploitation forestière","","","3","30047","403950",""
"","","","","Conducteur / Conductrice d'abatteuses","Conducteur / Conductrice d'abatteuses","4","30047","403950","12862"
"","","","","Conducteur / Conductrice de tête d'abattage","Conducteur / Conductrice de tête d'abattage","4","30047","403950","13197"
"","","","","Conducteur / Conductrice de tracteur forestier","Conducteur / Conductrice de tracteur forestier","4","30047","403950","404027"
"","","","","Conducteur / Conductrice d'engins de débardage","Conducteur / Conductrice d'engins de débardage","4","30047","403950","13248"
"","","","","Conducteur / Conductrice d'engins d'exploitation forestière","Conducteur / Conductrice d'engins d'exploitation forestière","4","30047","403950","13255"
"","","","","Conducteur / Conductrice d'engins forestiers","Conducteur / Conductrice d'engins forestiers","4","30047","403950","13256"
"","","","","Conducteur / Conductrice d'engins sylvicoles","Conducteur / Conductrice d'engins sylvicoles","4","30047","403950","404029"
"","","","","Débardeur / Débardeuse","Débardeur / Débardeuse","4","30047","403950","13886"
"","","","","Débardeur forestier / Débardeuse forestière","Débardeur forestier / Débardeuse forestière","4","30047","403950","13887"
"","","","","Opérateur / Opératrice d'abatteuse","Opérateur / Opératrice d'abatteuse","4","30047","403950","17055"
"","","","","Pilote de machines d'abattage","Pilote de machines d'abattage","4","30047","403950","17751"
"","","","","Tractoriste forestier / Tractoriste forestière","Tractoriste forestier / Tractoriste forestière","4","30047","403950","20405"
"A","12","","Espaces naturels et espaces verts","","","2","","",""
"A","12","01","Bûcheron / Bûcheronne","","","3","19","7",""
"","","","","Bûcheron / Bûcheronne","Bûcheron / Bûcheronne","4","19","7","11606"
"","","","","Bûcheron élagueur / Bûcheronne élagueuse","Bûcheron élagueur / Bûcheronne élagueuse","4","19","7","11607"
"","","","","Charbonnier / Charbonnière","Charbonnier / Charbonnière","4","19","7","11740"
"","","","","Commis / Commise de coupe","Commis / Commise de coupe","4","19","7","12755"
"","","","","Homme / Femme de pied","Homme / Femme de pied","4","19","7","38435"
"","","","","Ouvrier / Ouvrière d'exploitation forestière","Ouvrier / Ouvrière d'exploitation forestière","4","19","7","17483"
"A","12","02","Agent / Agente d'entretien des espaces naturels","","","3","15","8",""
"","","","","Agent / Agente d'aménagement des circuits pédestres, équestres et Vtt","Agent(e) aménagement des circuits pédestres, équestres, VTT","4","15","8","10382"
"","","","","Agent / Agente d'aménagement des haies et fossés","Agent / Agente d'aménagement des haies et fossés","4","15","8","10383"
"","","","","Agent / Agente d'entretien de la nature","Agent / Agente d'entretien de la nature","4","15","8","10664"
"","","","","Agent / Agente d'entretien de l'espace rural","Agent / Agente d'entretien de l'espace rural","4","15","8","10667"
"","","","","Agent / Agente d'entretien des espaces naturels","Agent / Agente d'entretien des espaces naturels","4","15","8","10673"
"","","","","Agent / Agente d'entretien des rivières","Agent / Agente d'entretien des rivières","4","15","8","10677"
"","","","","Agent / Agente d'entretien nature du littoral","Agent / Agente d'entretien nature du littoral","4","15","8","10685"
"","","","","Agent / Agente d'entretien nature et biodiversité","Agent / Agente d'entretien nature et biodiversité","4","15","8","38323"
"","","","","Agent / Agente technique de l'environnement (ATE)","Agent / Agente technique de l'environnement (ATE)","4","15","8","489238"
"","","","","Ouvrier / Ouvrière de génie écologique","Ouvrier / Ouvrière de génie écologique","4","15","8","200080"
"","","","","Ouvrier / Ouvrière d'entretien des espaces naturels","Ouvrier / Ouvrière d'entretien des espaces naturels","4","15","8","17474"
"A","12","03","Agent / Agente d'entretien des espaces verts","","","3","16","9",""
"","","","","Agent / Agente d'entretien des espaces verts","Agent / Agente d’entretien des espaces verts","4","16","9","488643"
"","","","","Agent / Agente d'entretien des parcs et jardins","Agent / Agente d'entretien des parcs et jardins","4","16","9","10675"
"","","","","Aide jardinier / Aide jardinière","Aide jardinier / Aide jardinière","4","16","9","38436"
"","","","","Manœuvre des espaces verts","Manœuvre des espaces verts","4","16","9","38437"
"","","","","Ouvrier / Ouvrière d'entretien des espaces verts","Ouvrier / Ouvrière d'entretien des espaces verts","4","16","9","17475"
"","","","","Ouvrier / Ouvrière des espaces verts","Ouvrier / Ouvrière des espaces verts","4","16","9","17480"
"","","","","Ouvrier / Ouvrière du paysage","Ouvrier / Ouvrière du paysage","4","16","9","17487"
"","","","","Ouvrier / Ouvrière paysagiste","Ouvrier / Ouvrière paysagiste","4","16","9","17515"
"","","","","Technicien / Technicienne espaces verts","Technicien / Technicienne espaces verts","4","16","9","488644"
"A","12","04","Garde Forestier / Forestière","","","3","13","10",""
"","","","","Agent / Agente technique des parcs nationaux","Agent / Agente technique des parcs nationaux","4","13","10","10780"
"","","","","Agent chargé / Agente chargée de protection et de sauvegarde du patrimoine naturel","Agent(e) chargé(e) protection, sauvegarde patrimoine naturel","4","13","10","10358"
"","","","","Éco garde","Éco garde","4","13","10","14562"
"","","","","Garde de parc naturel","Garde de parc naturel","4","13","10","15195"
"","","","","Garde du littoral","Garde du littoral","4","13","10","15198"
"","","","","Garde Forestier / Forestière","Garde Forestier / Forestière","4","13","10","15199"
"","","","","Garde moniteur / Garde monitrice de parc national","Garde moniteur / Garde monitrice de parc national","4","13","10","15200"
"","","","","Garde moniteur / Garde monitrice de parc naturel","Garde moniteur / Garde monitrice de parc naturel","4","13","10","15201"
"","","","","Garde national / Garde nationale de la chasse et de la faune sauvage","Garde national/nationale de la chasse et de la faune sauvage","4","13","10","15202"
"","","","","Garde technicien / Garde technicienne de réserve naturelle","Garde technicien / Garde technicienne de réserve naturelle","4","13","10","15204"
"","","","","Garde-chasse","Garde-chasse","4","13","10","15205"
"","","","","Garde-chasse particulier / Garde-chasse particulière","Garde-chasse particulier / Garde-chasse particulière","4","13","10","15206"
"","","","","Garde-pêche","Garde-pêche","4","13","10","15208"
"","","","","Garde-rivière","Garde-rivière","4","13","10","15210"
"","","","","Observateur / Observatrice des pêches","Observateur / Observatrice des pêches","4","13","10","200100"
"","","","","Technicien / Technicienne cynégétique","Technicien / Technicienne cynégétique","4","13","10","19706"
"","","","","Technicien / Technicienne de rivière","Technicien / Technicienne de rivière","4","13","10","38379"
