"code_rome","libelle_rome","code_grand_domaine","libelle_grand_domaine","code_domaine_professionel","libelle_domaine_professionel"
"A1101","Conducteur / Conductrice d'engins agricoles","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A11","Engins agricoles et forestiers"
"A1102","Conducteur / Conductrice d'engins d'exploitation forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A11","Engins agricoles et forestiers"
"A1201","Bûcheron / Bûcheronne","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1202","Agent / Agente d'entretien des espaces naturels","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1203","Agent / Agente d'entretien des espaces verts","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1204","Garde Forestier / Forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1205","Sylviculteur / Sylvicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1206","Concepteur / Conceptrice paysagiste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1207","Chef / Cheffe d'équipe d'entretien d'espaces naturels","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1208","Jardinier / Jardinière paysagiste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1209","Élagueur / Élagueuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1210","Ouvrier forestier / Ouvrière forestière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1211","Chef / Cheffe d'équipe paysagiste","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1212","Chef / Cheffe d'équipe de travaux forestiers","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1213","Conducteur / Conductrice de travaux forestiers","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A12","Espaces naturels et espaces verts"
"A1301","Technicien / Technicienne de culture maraîchère","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1302","Technicien / Technicienne agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1303","Ingénieur / Ingénieure agronome","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1304","Conseiller / Conseillère technique agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A13","Etudes et assistance technique"
"A1401","Vendangeur / Vendangeuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1402","Aide horticole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1403","Aide d'élevage agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1404","Aquaculteur / Aquacultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1405","Arboriculteur / Arboricultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1406","Capitaine de pêche","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1407","Éleveur / Éleveuse de bovins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1408","Éleveur / Éleveuse d'animaux","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1409","Aviculteur / Avicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1410","Éleveur / Éleveuse d'ovins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1411","Éleveur / Éleveuse de porcins","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1412","Fromager-affineur / Fromagère-affineuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1413","Brasseur / Brasseuse de bière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1414","Horticulteur / Horticultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1415","Marin-pêcheur","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1416","Agriculteur / Agricultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1417","Saliculteur / Salicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1418","Viticulteur / Viticultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1419","Ouvrier agricole polyvalent / Ouvrière agricole polyvalente","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1420","Chef / Cheffe de culture responsable d'unité de production agricole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1421","Palefrenier soigneur / Palefrenière soigneuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1422","Caviste de chai","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1423","Œnologue","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1424","Pisciculteur / Piscicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1425","Ramendeur / Ramendeuse","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1426","Éducateur canin / Éducatrice canine","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1427","Goémonier / Goémonière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1428","Algoculteur / Algocultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1429","Apiculteur / Apicultrice","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1430","Ouvrier / Ouvrière aquacole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1431","Ouvrier / Ouvrière piscicole","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A14","Production"
"A1501","Auxiliaire vétérinaire","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1502","Maréchal-ferrant / Maréchale-ferrante","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1503","Toiletteur / Toiletteuse d'animaux","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1504","Vétérinaire","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1505","Animalier / Animalière de laboratoire","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1506","Soigneur animalier / Soigneuse animalière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"A1507","Ostéopathe animalier / Ostéopathe animalière","A","Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux","A15","Soins aux animaux"
"B1101","Artiste Plasticien / Plasticienne","B","Arts et Façonnage d'ouvrages d'art","B11","Arts plastiques"
"B1102","Mosaïste d'art","B","Arts et Façonnage d'ouvrages d'art","B11","Arts plastiques"
