"code_ogr","libelle","code_rubrique"
"100023","Abattre un arbre","1"
"100063","Tailler les arbres","1"
"100068","Étudier les évolutions de la faune et de la flore dans les milieux naturels","1"
"100069","Surveiller un espace naturel pour la prévention des risques d'accidents, de pollution, d'incendie","1"
"100070","Diagnostiquer l'état d'un site et définir les priorités d'action au sein des milieux inventoriés","1"
"100071","Mettre en œuvre des directives visant à protéger et à valoriser les milieux naturels par la réintroduction d'espèces ou la restauration des plages","1"
"100083","Réaliser des opérations de gestion des milieux aquatiques","1"
"100111","Déterminer des solutions technico-économiques","1"
"100133","Identifier les priorités d'intervention (contrôles, relevés, ...) en fonction de la planification annuelle et déterminer le matériel approprié","1"
"100136","Prélever des échantillons de matières ou de produits","1"
"100236","Définir la route du navire et les paramètres sur les instruments de pilotage et de contrôle","1"
"100238","Surveiller la route d'un bateau","1"
"100239","Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche","1"
"100240","Sécuriser un équipement, un périmètre","1"
"100256","Dispenser les soins préventifs ou curatifs aux animaux","1"
"100280","Vérifier l'état de fonctionnement des équipements (chaudière, système d'extraction d'air, ...)","1"
"100295","Gérer les stocks de nourriture et distribuer les aliments","1"
"100300","Répartir les animaux dans des locaux d'élevage ou en plein air","1"
"100307","Prélever les semences des verrats pour les faire analyser en laboratoire","1"
"100310","Réaliser le diagnostic de santé ou de gestation de l'animal et dispenser les soins préventifs ou curatifs","1"
"100311","Assister les animaux lors des mises bas et prodiguer les premiers soins aux nouveau-nés","1"
"100314","Procéder au caillage du lait après sa mise en cuve","1"
"100347","Réaliser la mise en fûts ou en bouteilles, le bouchage, l'étiquetage","1"
"100387","Surveiller l'état de l'embarcation pendant la navigation, détecter les anomalies (avaries, ...) et en informer le maître d'équipage ou l'officier de quart","1"
"100388","Effectuer les manoeuvres d'accostage ou d'appareillage du bateau","1"
"100408","Identifier le motif de consultation, le degré d'urgence et informer le propriétaire de l'animal sur les modalités de prise en charge","1"
"100409","Manipuler des animaux","1"
"100410","Préparer le matériel et apporter une aide technique au vétérinaire, à l'éleveur, ...","1"
"100421","Proposer un traitement orthopédique","1"
"100424","Sélectionner le fer en fonction de la mobilité, de l'effort et de la morphologie de l'animal et le former d'après l'empreinte","1"
"100426","Informer et conseiller sur le type de ferrure, les produits de soin, le besoin de consultation vétérinaire","1"
"100433","Réaliser et/ou poser une ferrure","1"
"100445","Identifier la demande (toilettage saisonnier, traitement antiparasitaire, ...) du propriétaire de l'animal et planifier l'intervention","1"
"100446","Vérifier l'aspect de l'animal et orienter si nécessaire le propriétaire vers un vétérinaire, un éducateur canin","1"
"100447","Sélectionner le matériel et les produits et préparer l'animal au toilettage par désinfection, douche, ...","1"
"100450","Renseigner le dossier de suivi de l'animal et proposer des soins ultérieurs","1"
"100456","Identifier la demande du responsable de l'animal et déterminer les modalités d'intervention (soin sur place, transfert, ...)","1"
"100457","Recueillir les informations sur l'animal (troubles, comportement, antécédents, traitements en cours, ...) auprès de son accompagnant ou dans le dossier médical","1"
"100459","Informer le responsable de l'animal sur la prise en charge thérapeutique (traitement, risques, coût, durée, ...) ou l'orienter vers un service spécialisé (centre hospitalier vétérinaire, ...)","1"
"100460","Procéder aux examens nécessaires en fonction du diagnostic (radiographie, prélèvements biologiques, ...)","1"
"100475","Effectuer des analyses biologiques (parasitologie, bactériologie, virologie, ...)","1"
"100486","Déterminer les contraintes techniques de l'oeuvre liées aux caractéristiques des matériaux, aux conditions d'exposition, aux normes de sécurité","1"
"100493","Se représenter un objet dans l'espace","1"
"100558","Façonner des pièces d'art","1"
"100601","Repérer les tendances et les ambiances de décoration","1"
"100615","Concevoir l'aménagement de salons et d'expositions commerciales","1"
"100616","Concevoir l'aménagement de manifestations évènementielles","1"
"100617","Concevoir l'aménagement de musée et d'expositions culturelles","1"
"100658","Appliquer une couche de métal par l'argenture","1"
"100659","Appliquer une couche de métal","1"
"100684","Reporter ou reproduire un décor en petite série selon des techniques de papier à la cuve","1"
"100731","Terminer l'ouvrage par rabattage des tiges d'osier, le serrage des lignes torsadées, insérer les éléments de renforts et effectuer les opérations de ponçage, vernis","1"
"100749","Réaliser des objets de jardins","1"
"100760","Réaliser des opérations d'architecture végétale décorative ou utilitaire (tressage de l'osier)","1"
"100784","Réaliser des dorures et des décorations","1"
"100809","Réparer des instruments","1"
"100835","Vernisser au tampon","1"
"100839","Réaliser des décors de peinture","1"
"100857","Réaliser des éléments de serrurerie, quincaillerie d'art","1"
"100858","Réaliser des escaliers, rambardes, mezzanines, pergola, vitrines","1"
"100859","Réaliser des grilles ornementales","1"
"100861","Réaliser des luminaires","1"
"100862","Réaliser des objets décoratifs","1"
"100864","Réaliser des statuaires monumentales","1"
"100888","Réaliser des cliquetages","1"
"100898","Vérifier la faisabilité de la commande, définir et arrêter avec le client les conditions de réalisation","1"
"100901","Souffler le verre pour le mettre en forme (soufflage, étirement, torsion, ...) et veiller au maintien de sa température (arche de recuisson, fours de réchauffe, ...)","1"
"100924","Usiner ou assembler le verre","1"
"100955","Découper du verre","1"
