"code_rome","code_compo_bloc","code_rubrique","code_ogr"
"A1101","1","","6"
"A1101","2","","11987"
"A1101","2","","13201"
"A1101","2","","13232"
"A1101","2","","13254"
"A1101","2","","20404"
"A1101","2","","38874"
"A1101","2","","38875"
"A1101","2","","38876"
"A1101","2","","38877"
"A1101","2","","38878"
"A1101","2","","38879"
"A1101","2","","140877"
"A1101","2","","404030"
"A1101","2","","405363"
"A1101","5","1","104016"
"A1101","5","1","107141"
"A1101","5","1","110024"
"A1101","5","1","117548"
"A1101","5","1","122567"
"A1101","5","1","122568"
"A1101","5","1","122573"
"A1101","5","1","122730"
"A1101","5","1","122817"
"A1101","5","1","122853"
"A1101","5","1","123176"
"A1101","5","1","125527"
"A1101","5","1","300152"
"A1101","5","1","300160"
"A1101","5","1","300172"
"A1101","5","1","300183"
"A1101","5","1","300364"
"A1101","5","1","300446"
"A1101","5","1","400094"
"A1101","5","1","402131"
"A1101","5","1","404006"
"A1101","5","1","404016"
"A1101","5","1","404020"
"A1101","5","1","483361"
"A1101","5","2","300460"
"A1101","5","2","300465"
"A1101","5","2","300490"
"A1101","5","3","100003"
"A1101","5","3","100011"
"A1101","5","3","100015"
"A1101","5","3","100016"
"A1101","5","3","100017"
"A1101","5","3","100019"
"A1101","5","3","100057"
"A1101","5","3","100104"
"A1101","5","3","100131"
"A1101","5","3","101869"
"A1101","5","3","104425"
"A1101","5","3","104514"
"A1101","5","3","104547"
"A1101","5","3","105545"
"A1101","5","3","106465"
"A1101","5","3","109995"
"A1101","5","3","109998"
"A1101","5","3","116781"
"A1101","5","3","120016"
"A1101","5","3","121998"
"A1101","5","3","122854"
"A1101","5","3","122855"
"A1101","5","3","123701"
"A1101","5","3","200042"
"A1101","5","3","200047"
"A1101","5","3","200048"
"A1101","5","3","403970"
"A1101","5","3","403984"
"A1101","5","3","404310"
"A1101","5","3","404315"
"A1101","6","","23376"
"A1101","6","","38055"
"A1101","6","","300781"
"A1101","6","","300783"
"A1101","6","","300795"
"A1101","6","","300805"
"A1101","6","","300824"
"A1101","6","","403095"
"A1101","6","","403960"
"A1102","1","","403950"
"A1102","2","","12862"
"A1102","2","","13197"
"A1102","2","","13248"
"A1102","2","","13255"
"A1102","2","","13256"
"A1102","2","","13886"
"A1102","2","","13887"
"A1102","2","","17055"
"A1102","2","","17751"
"A1102","2","","20405"
"A1102","2","","404027"
"A1102","2","","404029"
"A1102","5","1","100023"
"A1102","5","1","100240"
