"code_ogr","nature","libelle_competence","definition","code_ogr_macro_comp","code_macro_comp","cat_comp","sous_cat_comp","transition_eco","transition_num","libelle_heterogeneite","libelle_origine"
"100023","Compétence","Abattre un arbre","","300230","","Savoir-faire","Technique","","N","",""
"100063","Compétence","Tailler les arbres","","300230","","Savoir-faire","Technique","O","N","",""
"100068","Compétence","Étudier les évolutions de la faune et de la flore dans les milieux naturels","","300301","","Savoir-faire","Technique expert","O","N","",""
"100069","Compétence","Surveiller un espace naturel pour la prévention des risques d'accidents, de pollution, d'incendie","","300297","","Savoir-faire","Technique","","N","",""
"100070","Compétence","Diagnostiquer l'état d'un site et définir les priorités d'action au sein des milieux inventoriés","","300185","","Savoir-faire","Technique","","N","",""
"100071","Compétence","Mettre en œuvre des directives visant à protéger et à valoriser les milieux naturels par la réintroduction d'espèces ou la restauration des plages","","300404","","Savoir-faire","Technique expert","","N","",""
"100083","Compétence","Réaliser des opérations de gestion des milieux aquatiques","","300404","","Savoir-faire","Technique expert","O","N","",""
"100111","Compétence","Déterminer des solutions technico-économiques","","300391","","Savoir-faire","Technique expert","","N","",""
"100133","Compétence","Identifier les priorités d'intervention (contrôles, relevés, ...) en fonction de la planification annuelle et déterminer le matériel approprié","","300487","","Savoir-faire","Technique expert","","N","",""
"100136","Compétence","Prélever des échantillons de matières ou de produits","","300078","","Savoir-faire","Technique","","N","",""
"100236","Compétence","Définir la route du navire et les paramètres sur les instruments de pilotage et de contrôle","","300272","","Savoir-faire","Technique","","N","",""
"100238","Compétence","Surveiller la route d'un bateau","","300279","","Savoir-faire","Technique","","N","",""
"100239","Compétence","Réaliser ou contrôler les manoeuvres du navire et les opérations de pêche","","300272","","Savoir-faire","Technique","","N","",""
"100240","Compétence","Sécuriser un équipement, un périmètre","","300150","","Savoir-faire","Technique expert","","N","",""
"100256","Compétence","Dispenser les soins préventifs ou curatifs aux animaux","","300064","","Savoir-faire","Technique","","N","",""
"100280","Compétence","Vérifier l'état de fonctionnement des équipements (chaudière, système d'extraction d'air, ...)","","300180","","Savoir-faire","Technique expert","","N","",""
"100295","Compétence","Gérer les stocks de nourriture et distribuer les aliments","","300062","","Savoir-faire","Technique","","N","",""
"100300","Compétence","Répartir les animaux dans des locaux d'élevage ou en plein air","","300296","","Savoir-faire","Technique","","N","",""
"100307","Compétence","Prélever les semences des verrats pour les faire analyser en laboratoire","","300296","","Savoir-faire","Technique","","N","",""
"100310","Compétence","Réaliser le diagnostic de santé ou de gestation de l'animal et dispenser les soins préventifs ou curatifs","","300064","","Savoir-faire","Technique","","N","",""
"100311","Compétence","Assister les animaux lors des mises bas et prodiguer les premiers soins aux nouveau-nés","","300064","","Savoir-faire","Technique","","N","",""
"100314","Compétence","Procéder au caillage du lait après sa mise en cuve","","300212","","Savoir-faire","Technique","","N","",""
"100347","Compétence","Réaliser la mise en fûts ou en bouteilles, le bouchage, l'étiquetage","","300268","","Savoir-faire","Technique","","N","",""
"100387","Compétence","Surveiller l'état de l'embarcation pendant la navigation, détecter les anomalies (avaries, ...) et en informer le maître d'équipage ou l'officier de quart","","300180","","Savoir-faire","Technique expert","","N","",""
"100388","Compétence","Effectuer les manoeuvres d'accostage ou d'appareillage du bateau","","300272","","Savoir-faire","Technique","","N","",""
"100408","Compétence","Identifier le motif de consultation, le degré d'urgence et informer le propriétaire de l'animal sur les modalités de prise en charge","","300064","","Savoir-faire","Technique","","N","",""
"100409","Compétence","Manipuler des animaux","","404527","","Savoir-faire","Technique","","N","",""
"100410","Compétence","Préparer le matériel et apporter une aide technique au vétérinaire, à l'éleveur, ...","","404527","","Savoir-faire","Technique","","N","",""
"100421","Compétence","Proposer un traitement orthopédique","","300064","","Savoir-faire","Technique","","N","",""
"100424","Compétence","Sélectionner le fer en fonction de la mobilité, de l'effort et de la morphologie de l'animal et le former d'après l'empreinte","","300061","","Savoir-faire","Technique","","N","",""
"100426","Compétence","Informer et conseiller sur le type de ferrure, les produits de soin, le besoin de consultation vétérinaire","","300184","","Savoir-faire","Technique","","N","",""
"100433","Compétence","Réaliser et/ou poser une ferrure","","404527","","Savoir-faire","Technique","","N","",""
"100445","Compétence","Identifier la demande (toilettage saisonnier, traitement antiparasitaire, ...) du propriétaire de l'animal et planifier l'intervention","","300363","","Savoir-faire","Technique","","N","",""
"100446","Compétence","Vérifier l'aspect de l'animal et orienter si nécessaire le propriétaire vers un vétérinaire, un éducateur canin","","402004","","Savoir-faire","Technique","","N","",""
"100447","Compétence","Sélectionner le matériel et les produits et préparer l'animal au toilettage par désinfection, douche, ...","","300061","","Savoir-faire","Technique","","N","",""
"100450","Compétence","Renseigner le dossier de suivi de l'animal et proposer des soins ultérieurs","","300431","","Savoir-faire","Transverse","","N","",""
"100456","Compétence","Identifier la demande du responsable de l'animal et déterminer les modalités d'intervention (soin sur place, transfert, ...)","","300366","","Savoir-faire","Technique","","N","",""
"100457","Compétence","Recueillir les informations sur l'animal (troubles, comportement, antécédents, traitements en cours, ...) auprès de son accompagnant ou dans le dossier médical","","300452","","Savoir-faire","Transverse","O","N","",""
"100459","Compétence","Informer le responsable de l'animal sur la prise en charge thérapeutique (traitement, risques, coût, durée, ...) ou l'orienter vers un service spécialisé (centre hospitalier vétérinaire, ...)","","300057","","Savoir-faire","Technique","","N","",""
"100460","Compétence","Procéder aux examens nécessaires en fonction du diagnostic (radiographie, prélèvements biologiques, ...)","","402004","","Savoir-faire","Technique","","N","",""
"100475","Compétence","Effectuer des analyses biologiques (parasitologie, bactériologie, virologie, ...)","","300078","","Savoir-faire","Technique","","N","",""
"100486","Compétence","Déterminer les contraintes techniques de l'oeuvre liées aux caractéristiques des matériaux, aux conditions d'exposition, aux normes de sécurité","","300186","","Savoir-faire","Technique","","N","",""
"100493","Compétence","Se représenter un objet dans l'espace","","300069","","Savoir-faire","Technique","","N","",""
"100558","Compétence","Façonner des pièces d'art","","300098","","Savoir-faire","Technique expert","","N","",""
"100601","Compétence","Repérer les tendances et les ambiances de décoration","","300381","","Savoir-faire","Technique","","N","",""
"100615","Compétence","Concevoir l'aménagement de salons et d'expositions commerciales","","300375","","Savoir-faire","Technique","","N","",""
"100616","Compétence","Concevoir l'aménagement de manifestations évènementielles","","300277","","Savoir-faire","Technique","","N","",""
"100617","Compétence","Concevoir l'aménagement de musée et d'expositions culturelles","","300293","","Savoir-faire","Technique","","N","",""
"100658","Compétence","Appliquer une couche de métal par l'argenture","","300214","","Savoir-faire","Technique","","N","",""
"100659","Compétence","Appliquer une couche de métal","","300214","","Savoir-faire","Technique","","N","",""
"100684","Compétence","Reporter ou reproduire un décor en petite série selon des techniques de papier à la cuve","","300234","","Savoir-faire","Technique","","N","",""
"100731","Compétence","Terminer l'ouvrage par rabattage des tiges d'osier, le serrage des lignes torsadées, insérer les éléments de renforts et effectuer les opérations de ponçage, vernis","","300226","","Savoir-faire","Technique","","N","",""
"100749","Compétence","Réaliser des objets de jardins","","300232","","Savoir-faire","Technique","","N","",""
