"code_ogr","riasec_majeur","riasec_mineur"
"104292","C",""
"118069","C","S"
"300001","E","S"
"300002","E",""
"300003","S","E"
"300004","E",""
"300005","E",""
"300006","E",""
"300007","E",""
"300008","I",""
"300009","E",""
"300010","C","E"
"300011","C",""
"300012","E",""
"300013","E",""
"300014","S",""
"300015","S",""
"300016","C","S"
"300017","S",""
"300018","S",""
"300019","S",""
"300020","",""
"300021","",""
"300022","S",""
"300023","",""
"300024","S","I"
"300025","",""
"300026","S","I"
"300027","S","C"
"300028","S",""
"300029","E",""
"300030","S","R"
"300031","S","E"
"300032","S","R"
"300033","S",""
"300034","S",""
"300035","S",""
"300036","S",""
"300037","",""
"300038","S",""
"300039","S",""
"300040","S",""
"300041","S",""
"300042","",""
"300043","S",""
"300044","S","I"
"300045","R",""
"300046","",""
"300047","",""
"300048","",""
"300049","I","S"
"300050","I","S"
"300051","",""
"300052","",""
"300053","",""
"300054","I","S"
"300055","S","I"
"300056","",""
"300057","I",""
"300058","",""
"300059","I","R"
"300060","",""
"300061","",""
"300062","",""
"300063","",""
"300064","R","I"
"300065","I","C"
"300066","I","C"
"300067","I","C"
"300068","",""
"300069","I","R"
"300070","",""
"300071","",""
"300072","I",""
"300073","I","R"
"300074","I",""
"300075","I","R"
"300076","I","S"
"300077","I",""
"300078","I","R"
"300079","I",""
"300080","I",""
"300081","I",""
"300082","I",""
"300083","I",""
"300084","I","E"
"300085","I",""
"300086","R",""
"300087","",""
"300088","I","A"
"300089","",""
"300090","R",""
"300091","R","I"
"300092","A",""
"300093","A",""
"300094","A",""
"300095","A",""
"300096","A",""
"300097","",""
"300098","A","R"
"300099","A","R"
"300100","A",""
"300101","A",""
"300102","",""
"300103","A",""
"300104","A",""
"300105","A",""
"300106","R",""
"300107","A","R"
"300108","A",""
"300109","A",""
"300110","E",""
"300111","E",""
"300113","E","A"
"300114","R","A"
"300115","I",""
"300116","A",""
"300117","I","A"
"300118","I","C"
"300119","I","C"
"300120","A",""
"300122","S",""
"300123","E",""
"300124","I","C"
"300125","I","C"
"300126","I","C"
"300129","R","C"
"300130","I",""
"300131","",""
"300132","",""
"300134","",""
"300135","",""
"300136","",""
"300137","",""
"300138","",""
"300139","",""
"300140","",""
"300141","",""
"300142","R",""
"300144","I",""
"300146","I",""
"300147","R",""
"300148","C",""
"300149","C",""
"300150","C",""
"300151","",""
"300152","R",""
"300153","R",""
"300155","R",""
"300156","R",""
"300157","R",""
"300158","R",""
"300163","",""
"300164","",""
"300165","",""
"300166","",""
"300167","",""
"300169","",""
"300170","R",""
"300171","",""
"300172","",""
"300173","",""
"300174","C","R"
"300175","E","R"
