"code_rome","code_rome_cible","numero_ordre"
"A1101","A1102","6"
"A1101","A1201","5"
"A1101","A1202","4"
"A1101","A1205","2"
"A1101","A1414","1"
"A1101","A1416","3"
"A1101","F1302","8"
"A1101","I1603","10"
"A1101","I1604","11"
"A1101","N1104","7"
"A1101","N4101","9"
"A1102","A1101","5"
"A1102","A1201","1"
"A1102","A1202","3"
"A1102","A1203","4"
"A1102","A1205","2"
"A1102","F1301","12"
"A1102","F1302","11"
"A1102","F1705","9"
"A1102","I1603","10"
"A1102","K2111","8"
"A1102","N1104","6"
"A1102","N4101","7"
"A1201","A1101","3"
"A1201","A1202","7"
"A1201","A1203","5"
"A1201","A1205","2"
"A1201","A1405","4"
"A1201","A1414","1"
"A1201","A1419","6"
"A1201","F1707","9"
"A1201","N1101","10"
"A1201","N1103","8"
"A1202","A1203","10"
"A1202","A1204","1"
"A1202","A1207","3"
"A1202","A1208","2"
"A1202","A1209","4"
"A1202","A1210","5"
"A1202","F1302","9"
"A1202","F1707","6"
"A1202","I1202","8"
"A1202","I1203","7"
"A1203","A1202","1"
"A1203","A1208","2"
"A1203","A1210","3"
"A1203","A1414","4"
"A1203","F1707","5"
"A1203","H2102","8"
"A1203","I1202","6"
"A1203","I1203","7"
"A1203","N1101","9"
"A1204","A1202","3"
"A1204","A1203","5"
"A1204","A1205","2"
"A1204","A1302","1"
"A1204","A1303","4"
"A1204","I1202","7"
"A1204","K1705","8"
"A1204","K1707","6"
"A1204","K2305","9"
"A1204","N3203","10"
"A1205","A1101","4"
"A1205","A1102","6"
"A1205","A1201","1"
"A1205","A1405","2"
"A1205","A1414","5"
"A1205","A1416","3"
"A1205","A1420","7"
"A1205","F1707","10"
"A1205","H2205","8"
"A1205","K1705","9"
"A1206","C1503","8"
"A1206","F1104","1"
"A1206","F1205","3"
"A1206","G1403","9"
"A1206","I1101","6"
"A1206","K1802","7"
"A1206","K2401","2"
"A1206","M1102","4"
"A1206","M1302","5"
"A1206","M1402","10"
"A1207","A1101","1"
"A1207","A1204","2"
"A1207","A1205","3"
"A1207","F1707","5"
"A1207","I1202","4"
"A1207","K1203","6"
"A1207","K2111","7"
"A1207","K2203","9"
"A1207","K2306","8"
"A1208","A1202","1"
"A1208","A1204","3"
"A1208","A1207","2"
"A1208","A1209","4"
"A1208","A1211","10"
"A1208","A1414","9"
"A1208","F1707","5"
"A1208","F1708","6"
"A1208","I1202","7"
"A1208","I1203","8"
"A1209","A1101","4"
"A1209","A1102","3"
"A1209","A1202","1"
"A1209","A1210","2"
"A1209","A1405","5"
"A1209","F1501","6"
"A1209","F1502","7"
"A1209","F1619","8"
"A1209","I1501","9"
"A1209","N1101","10"
"A1210","A1102","4"
"A1210","A1201","2"
"A1210","A1202","5"
"A1210","A1203","3"
"A1210","A1209","6"
"A1210","A1212","1"
"A1210","F1707","7"
"A1210","H2211","9"
"A1210","I1203","8"
"A1210","N4101","10"
"A1211","A1204","1"
"A1211","A1207","5"
"A1211","A1301","3"
"A1211","A1405","4"
"A1211","A1414","2"
"A1211","D1212","8"
"A1211","F1707","6"
"A1211","I1202","7"
"A1211","K1802","9"
"A1211","K2111","10"
"A1212","A1102","1"
"A1212","A1201","2"
"A1212","A1204","3"
"A1212","A1207","4"
"A1212","A1213","5"
"A1212","A1420","6"
"A1212","F1206","7"
"A1212","H2202","8"
"A1212","H2504","9"
"A1212","I1203","10"
"A1213","A1204","2"
"A1213","A1207","3"
"A1213","A1420","1"
"A1213","D1402","7"
"A1213","D1418","9"
"A1213","G1216","8"
"A1213","H2204","10"
"A1213","K1802","4"
"A1213","K2111","5"
"A1213","M1504","6"
"A1301","A1204","2"
"A1301","A1302","3"
"A1301","A1303","1"
"A1301","A1304","4"
"A1301","A1420","5"
"A1301","D1403","6"
"A1301","H1206","8"
"A1301","K1802","7"
"A1301","K2109","10"
"A1301","K2111","9"
"A1302","A1301","1"
"A1302","A1304","5"
"A1302","A1407","2"
"A1302","A1416","4"
"A1302","A1420","3"
"A1302","H1503","6"
"A1302","K1707","10"
"A1302","K2301","9"
"A1302","M1602","7"
"A1302","N1303","8"
"A1303","A1204","2"
"A1303","A1301","1"
"A1303","A1304","3"
"A1303","H1206","10"
"A1303","H1501","9"
"A1303","H1503","8"
"A1303","K1402","5"
"A1303","K2109","6"
"A1303","K2111","7"
"A1303","K2402","4"
"A1304","A1301","1"
"A1304","A1302","2"
"A1304","A1303","4"
"A1304","A1416","3"
"A1304","D1403","8"
"A1304","D1407","6"
"A1304","G1101","9"
"A1304","K1802","10"
"A1304","K2109","7"
"A1304","K2111","5"
"A1304","M1601","11"
"A1401","A1101","3"
"A1401","A1402","2"
"A1401","A1405","4"
"A1401","A1414","1"
"A1401","A1418","5"
"A1401","A1419","6"
"A1401","D1507","10"
"A1401","H3301","7"
"A1401","H3302","11"
"A1401","N1101","9"
"A1401","N1105","8"
"A1402","A1101","4"
"A1402","A1401","2"
"A1402","A1405","6"
"A1402","A1414","1"
"A1402","A1418","3"
"A1402","A1419","5"
"A1402","D1507","8"
"A1402","H3301","7"
"A1402","H3302","10"
"A1402","N1103","9"
"A1403","A1101","2"
"A1403","A1202","3"
"A1403","A1407","4"
"A1403","A1419","1"
"A1403","F1709","5"
"A1403","G1602","12"
"A1403","H2101","11"
"A1403","H2102","6"
"A1403","H3301","7"
"A1403","N1101","10"
"A1403","N1103","9"
"A1403","N1105","8"
"A1404","A1415","4"
"A1404","A1417","1"
"A1404","A1428","2"
"A1404","D1105","7"
"A1404","D1301","6"
"A1404","D1410","5"
"A1404","H1502","10"
"A1404","H2504","9"
"A1404","K1802","8"
"A1404","N1101","3"
"A1405","A1101","2"
"A1405","A1413","5"
"A1405","A1414","1"
"A1405","A1418","3"
"A1405","A1420","4"
"A1405","D1106","8"
"A1405","D1502","9"
"A1405","D1507","7"
"A1405","H3301","6"
"A1405","N1103","10"
"A1406","A1404","1"
"A1406","A1417","2"
"A1406","D1105","9"
"A1406","D1502","6"
"A1406","D1504","10"
"A1406","H2102","7"
"A1406","I1103","8"
"A1406","I1605","4"
"A1406","N1202","5"
"A1406","N1302","3"
"A1407","A1101","2"
"A1407","A1301","7"
"A1407","A1302","4"
"A1407","A1412","1"
"A1407","A1416","6"
"A1407","A1421","3"
"A1407","A1502","5"
"A1407","D1402","10"
"A1407","G1210","9"
"A1407","G1403","11"
"A1407","N4101","8"
"A1408","A1202","5"
"A1408","A1204","2"
"A1408","A1409","1"
"A1408","A1410","3"
"A1408","A1416","4"
"A1408","D1106","7"
"A1408","D1210","8"
"A1408","D1301","9"
"A1408","D1507","10"
"A1408","G1102","6"
"A1409","A1203","4"
"A1409","A1301","5"
"A1409","A1302","3"
"A1409","A1416","6"
"A1409","A1419","2"
"A1409","A1501","1"
"A1409","D1101","7"
"A1409","D1106","8"
"A1409","H2102","9"
"A1409","H3302","10"
"A1410","A1101","1"
"A1410","A1204","2"
"A1410","A1301","5"
"A1410","A1412","4"
"A1410","A1416","3"
"A1410","D1101","9"
"A1410","H2103","8"
"A1410","H3302","7"
"A1410","N4101","6"
"A1411","A1301","4"
"A1411","A1302","3"
"A1411","A1416","2"
"A1411","A1501","1"
"A1411","D1103","9"
"A1411","D1107","6"
"A1411","D1301","7"
"A1411","D1410","5"
"A1411","H2103","8"
"A1411","N4104","10"
"A1412","A1407","6"
"A1412","A1410","5"
"A1412","D1107","8"
"A1412","D1403","9"
"A1412","D1502","10"
"A1412","G1101","3"
"A1412","G1202","4"
"A1412","G1602","2"
"A1412","H2102","1"
"A1412","M1608","7"
"A1413","A1405","3"
"A1413","A1416","2"
"A1413","A1418","1"
"A1413","D1106","7"
"A1413","D1301","9"
"A1413","D1410","4"
"A1413","D1501","10"
"A1413","G1801","5"
"A1413","G1804","6"
"A1413","H2102","8"
"A1414","A1101","1"
"A1414","A1205","4"
"A1414","A1405","2"
"A1414","A1416","3"
"A1414","A1420","5"
"A1414","D1106","10"
"A1414","D1107","7"
"A1414","D1209","9"
"A1414","D1502","6"
"A1414","H3301","8"
"A1415","A1404","1"
"A1415","A1406","2"
"A1415","A1425","7"
"A1415","A1427","10"
"A1415","D1105","3"
"A1415","H2102","4"
"A1415","I1601","5"
"A1415","I1605","6"
"A1415","N3102","8"
"A1415","N3203","9"
"A1416","A1205","2"
"A1416","A1405","3"
"A1416","A1412","7"
"A1416","A1413","1"
"A1416","A1414","4"
"A1416","A1418","6"
"A1416","A1420","5"
"A1416","D1107","8"
"A1416","D1410","10"
"A1416","H2102","9"
"A1417","A1202","1"
"A1417","A1404","2"
"A1417","A1414","3"
"A1417","A1416","4"
"A1417","D1106","8"
"A1417","D1301","7"
"A1417","G1102","5"
"A1417","G1201","9"
"A1417","H2102","11"
"A1417","K1802","6"
"A1417","N1103","10"
"A1418","A1405","2"
"A1418","A1413","4"
"A1418","A1414","1"
"A1418","A1420","3"
"A1418","D1406","10"
"A1418","D1410","6"
"A1418","G1102","7"
"A1418","G1801","8"
"A1418","G1804","9"
"A1418","H2206","5"
"A1419","A1101","1"
"A1419","A1202","6"
"A1419","A1203","7"
"A1419","A1401","3"
"A1419","A1402","2"
"A1419","A1403","4"
"A1419","A1414","5"
"A1419","H2103","8"
"A1419","H3302","10"
"A1419","N1103","9"
"A1420","A1205","4"
"A1420","A1304","5"
"A1420","A1414","1"
"A1420","A1416","3"
"A1420","A1418","2"
"A1420","D1107","6"
"A1420","D1410","7"
"A1420","D1502","10"
"A1420","H2102","9"
"A1420","H2502","8"
"A1421","A1202","5"
"A1421","A1403","4"
"A1421","A1407","2"
"A1421","A1501","3"
"A1421","A1502","1"
"A1421","B1802","6"
"A1421","G1210","8"
"A1421","I1203","7"
"A1421","K1701","10"
"A1421","K1705","9"
"A1422","A1304","4"
"A1422","A1413","2"
"A1422","A1418","3"
"A1422","A1423","1"
"A1422","D1301","7"
"A1422","D1410","5"
"A1422","D1501","6"
"A1422","G1801","8"
"A1422","G1804","9"
"A1423","A1418","1"
"A1423","D1301","3"
"A1423","D1410","2"
"A1423","H1206","8"
"A1423","H1503","6"
"A1423","K2111","4"
"A1423","K2402","5"
"A1423","M1101","7"
"A1423","M1707","9"
"A1423","N1301","10"
"A1424","A1207","2"
"A1424","A1304","3"
"A1424","A1404","1"
"A1424","D1105","4"
"A1424","D1410","6"
"A1424","K2111","9"
"A1424","M1101","8"
"A1424","N1101","5"
"A1424","N1303","7"
"A1425","A1202","2"
"A1425","A1415","1"
"A1425","A1430","7"
"A1425","H2102","8"
"A1425","H2406","5"
"A1425","H2415","6"
"A1425","I1203","9"
"A1425","N1103","4"
"A1425","N3203","3"
"A1426","A1204","8"
"A1426","A1408","3"
"A1426","A1501","1"
"A1426","A1503","4"
"A1426","A1506","2"
"A1426","G1202","6"
"A1426","G1209","7"
"A1426","G1216","5"
"A1427","A1404","3"
"A1427","A1406","2"
"A1427","A1415","1"
"A1427","A1428","10"
"A1427","D1407","9"
"A1427","I1601","4"
"A1427","I1605","5"
"A1427","N1103","6"
"A1427","N3102","7"
"A1427","N3203","8"
"A1428","A1202","1"
"A1428","A1404","3"
"A1428","A1417","2"
"A1428","A1424","4"
"A1428","D1301","6"
"A1428","G1101","8"
"A1428","G1202","7"
"A1428","G1602","9"
"A1428","H1210","10"
"A1428","N1103","5"
"A1429","A1202","3"
"A1429","A1204","4"
"A1429","A1208","7"
"A1429","A1416","2"
"A1429","D1106","6"
"A1429","D1301","5"
"A1429","D1507","8"
"A1429","G1102","1"
"A1429","G1202","9"
"A1429","M1608","10"
"A1430","A1202","3"
"A1430","A1404","1"
"A1430","A1419","4"
"A1430","A1428","2"
"A1430","A1431","5"
"A1430","H2102","7"
"A1430","H3301","6"
"A1430","N1101","10"
"A1430","N1103","8"
"A1430","N1105","9"
"A1431","A1202","1"
"A1431","A1424","2"
"A1431","A1430","3"
"A1431","D1105","4"
"A1431","H2102","8"
"A1431","H3301","9"
"A1431","N1101","6"
"A1431","N1103","5"
"A1431","N4105","7"
"A1501","A1302","6"
"A1501","A1407","5"
"A1501","A1408","2"
"A1501","A1410","7"
"A1501","A1421","3"
"A1501","A1502","4"
"A1501","A1503","1"
"A1501","D1210","10"
"A1501","G1210","8"
"A1501","I1203","9"
"A1502","A1101","2"
"A1502","A1407","1"
"A1502","A1421","3"
"A1502","A1501","4"
"A1502","B1601","10"
"A1502","G1102","7"
"A1502","H2913","5"
"A1502","K2111","9"
"A1502","N1103","6"
"A1502","N4101","8"
"A1503","A1403","2"
"A1503","A1408","1"
"A1503","A1501","3"
"A1503","D1210","8"
"A1503","D1507","7"
"A1503","J1301","9"
"A1503","J1303","5"
"A1503","J1309","6"
"A1503","K1302","4"
"A1503","M1601","10"
"A1504","A1302","1"
"A1504","D1405","10"
"A1504","E1106","8"
"A1504","H1206","3"
"A1504","K1402","4"
"A1504","K1802","2"
"A1504","K2108","9"
"A1504","K2111","7"
"A1504","K2402","6"
"A1504","M1302","5"
"A1505","A1403","1"
"A1505","A1408","8"
"A1505","A1410","2"
"A1505","A1426","3"
"A1505","A1501","6"
"A1505","H1214","4"
"A1505","H1503","5"
"A1505","H2303","7"
"A1505","K2111","9"
"A1506","A1202","5"
"A1506","A1403","4"
"A1506","A1408","3"
"A1506","A1501","1"
"A1506","A1503","2"
"A1506","D1210","6"
"A1506","G1101","8"
"A1506","G1216","7"
"A1506","G1405","9"
"A1506","N4125","10"
"A1507","A1302","3"
"A1507","A1407","1"
"A1507","A1408","2"
"A1507","D1405","4"
"A1507","E1106","5"
"A1507","H1206","8"
"A1507","K1802","6"
"A1507","K2111","7"
"A1507","K2402","9"
"A1507","M1302","10"
"B1101","B1201","1"
"B1101","B1301","2"
"B1101","B1302","3"
"B1101","E1201","7"
"B1101","G1202","6"
"B1101","K1602","5"
"B1101","K2105","11"
"B1101","K2107","9"
"B1101","K2109","12"
"B1101","L1103","10"
"B1101","L1502","4"
"B1101","L1503","8"
"B1102","B1103","3"
"B1102","B1201","1"
"B1102","B1302","6"
"B1102","B1603","8"
"B1102","E1205","9"
"B1102","F1102","10"
"B1102","F1612","7"
"B1102","F1624","2"
"B1102","H1204","4"
"B1102","K2111","5"
"B1103","A1206","8"
"B1103","B1102","1"
"B1103","B1304","7"
"B1103","F1612","4"
"B1103","F1624","5"
"B1103","F1707","9"
"B1103","G1106","6"
"B1103","H1204","10"
"B1103","H2208","3"
"B1103","K2111","2"
"B1201","B1101","3"
"B1201","B1301","4"
"B1201","B1302","2"
"B1201","B1602","1"
"B1201","D1201","7"
"B1201","D1212","9"
"B1201","D1301","5"
"B1201","G1202","11"
"B1201","H2803","6"
"B1201","K1203","10"
"B1201","K2111","8"
"B1301","B1101","3"
"B1301","B1302","1"
"B1301","B1806","2"
"B1301","D1301","4"
"B1301","D1501","6"
"B1301","D1503","7"
"B1301","D1506","10"
"B1301","E1107","11"
"B1301","L1503","8"
"B1301","M1705","9"
"B1301","M1706","5"
"B1302","B1201","2"
"B1302","B1303","3"
