"code_rome","code_compo_bloc","libelle_type_texte","position_phrase","libelle_texte"
"A1101","3","definition","1","Réalise des travaux agricoles mécanisés."
"A1101","3","definition","2","Aménage et prépare les terrains, assure le labourage, le désherbage, les semis et récolte la production."
"A1101","3","definition","3","Utilise différentes machines (tracteur, moissonneuse-batteuse, ensileuse) et en assure l''entretien et la maintenance de premier niveau."
"A1101","4","acces_metier","1","Cet emploi est accessible sans diplôme particulier. Un CAPA ou un Bac pro dans le domaine agricole ou le certificat de spécialisation option ""Tracteurs et machines agricoles"" ainsi que différents CACES sont cependant appréciés, même s''il est possible de les obtenir en cours d''emploi."
"A1102","3","definition","1","Réalise des travaux mécanisés de sylviculture et d''exploitation forestière."
"A1102","3","definition","2","Conduit des engins perfectionnés de bûcheronnage afin d''exécuter des travaux d''abattage, d''ébranchage, de tronçonnage, de débardage."
"A1102","3","definition","3","Abat des arbres pré-identifiés tout en préservant le peuplement."
"A1102","3","definition","4","Effectue l''entretien et la maintenance de premier niveau des engins."
"A1102","4","acces_metier","1","Cet emploi est accessible avec un certificat de spécialisation ""pilote de machines de bûcheronnage"" ou d''autres diplômes (CAP, BP ou Bac) dans le domaine agricole ou spécialisés dans les travaux forestiers."
"A1201","3","definition","1","Réalise des opérations de coupe et d''entretien d''arbres (abattage, élagage, taille ...) sur sites forestiers, voies départementales, parcs et jardins, ..., selon les règles de sécurité, les normes environnementales et les impératifs de production (délais, quantités, ...)."
"A1201","3","definition","2","Peut débarder les grumes. Peut estimer la valeur de coupes."
"A1201","3","definition","3","Peut diriger une équipe ou diriger une entreprise de bûcheronnage, d''élagage, d''espaces verts."
"A1201","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en travaux forestiers et bûcheronnage. Un certificat de spécialisation ""diagnostic et taille des arbres"" peut être requis."
"A1201","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le même secteur sans diplôme particulier."
"A1201","4","acces_metier","3","Un diplôme de niveau Bac (Bac Professionnel, Brevet de Technicien Agricole, ...) en gestion et conduite de travaux forestiers peut être demandé pour les fonctions d''encadrement."
"A1202","3","definition","1","L''Agent d''entretien des espaces naturels joue un rôle important dans la préservation et la mise en valeur des espaces naturels, préservant la biodiversité et la beauté des écosystèmes."
"A1202","3","definition","2","Entretient les espaces naturels"
"A1202","3","definition","3","Participe à l''aménagement des zones accessibles au public"
"A1202","3","definition","4","Effectue des interventions régulières pour prévenir la dégradation des sites naturels."
"A1202","4","acces_metier","1","Cet emploi est accessible sans qualification. Un diplôme de niveau CAP dans le domaine agricole, l''entretien des espaces ruraux ou les travaux forestiers peut en faciliter l''accès."
"A1202","4","acces_metier","2","Des Certificats d''Aptitude à la Conduite En Sécurité (CACES) peuvent être nécessaires pour la conduite de certains engins."
"A1203","3","definition","1","L''agent d''entretien des espaces verts maintient la propreté, embellit les espaces verts, les parcs et jardins et participe à la préservation de l''environnement."
"A1203","3","definition","2","Réalise des opérations de plantation, de taille et d''élagage pour favoriser la croissance et la santé des végétaux"
"A1203","3","definition","3","Effectue la tonte et le ramassage des feuilles"
"A1203","3","definition","4","Applique les traitements phytosanitaires nécessaires pour préserver les plantes des maladies et des parasites"
"A1203","3","definition","5","Assure la propreté des lieux en ramassant les déchets et en effectuant des travaux de nettoyage"
"A1203","4","acces_metier","1","Cet emploi est accessible sans qualification. Des formations de niveau CAP à Bac dans le domaine de l''aménagement paysager peuvent cependant en faciliter l''accès."
